name of the body,position x,position y,position z
sun,-3.7168e-06,-3.27838e-05,2.35627e-07
jupiter,4.84734,-1.13216,-0.103871
saturn,8.33322,4.14303,-0.403437
uranus,12.9052,-15.1025,-0.223416
neptune,15.3895,-25.9134,0.178911
sun,-7.27352e-06,-6.55969e-05,4.67515e-07
jupiter,4.85309,-1.10397,-0.104116
saturn,8.32303,4.16125,-0.403349
uranus,12.916,-15.0938,-0.223524
neptune,15.3993,-25.9074,0.178564
sun,-1.06699e-05,-9.84384e-05,6.95655e-07
jupiter,4.85869,-1.07574,-0.104359
saturn,8.3128,4.17945,-0.403259
uranus,12.9268,-15.085,-0.223632
neptune,15.4091,-25.9015,0.178216
sun,-1.39058e-05,-0.000131308,9.20038e-07
jupiter,4.86413,-1.04748,-0.104598
saturn,8.30253,4.19762,-0.403167
uranus,12.9376,-15.0763,-0.22374
neptune,15.4188,-25.8955,0.177868
sun,-1.6981e-05,-0.000164203,1.14066e-06
jupiter,4.86942,-1.01918,-0.104833
saturn,8.29222,4.21578,-0.403073
uranus,12.9484,-15.0676,-0.223848
neptune,15.4286,-25.8895,0.177521
sun,-1.98951e-05,-0.000197125,1.3575e-06
jupiter,4.87455,-0.990852,-0.105065
saturn,8.28186,4.23391,-0.402977
uranus,12.9592,-15.0589,-0.223955
neptune,15.4384,-25.8836,0.177173
sun,-2.26482e-05,-0.000230071,1.57056e-06
jupiter,4.87953,-0.962491,-0.105294
saturn,8.27147,4.25202,-0.402879
uranus,12.97,-15.0501,-0.224063
neptune,15.4482,-25.8776,0.176825
sun,-2.52398e-05,-0.000263042,1.77983e-06
jupiter,4.88434,-0.934099,-0.10552
saturn,8.26104,4.27012,-0.402779
uranus,12.9808,-15.0414,-0.22417
neptune,15.4579,-25.8716,0.176477
sun,-2.76698e-05,-0.000296036,1.9853e-06
jupiter,4.88901,-0.905677,-0.105742
saturn,8.25057,4.28819,-0.402677
uranus,12.9915,-15.0326,-0.224277
neptune,15.4677,-25.8656,0.17613
sun,-2.99381e-05,-0.000329052,2.18696e-06
jupiter,4.89351,-0.877226,-0.10596
saturn,8.24005,4.30624,-0.402573
uranus,13.0023,-15.0239,-0.224385
neptune,15.4775,-25.8596,0.175782
sun,-3.20445e-05,-0.000362089,2.3848e-06
jupiter,4.89786,-0.848747,-0.106175
saturn,8.2295,4.32427,-0.402467
uranus,13.013,-15.0151,-0.224492
neptune,15.4873,-25.8537,0.175434
sun,-3.39887e-05,-0.000395147,2.57883e-06
jupiter,4.90205,-0.820241,-0.106387
saturn,8.2189,4.34227,-0.402359
